ID,alive,food0_AVE,food0_LIST,food1_AVE,food1_LIST,food2_AVE,food2_LIST,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,novelty_AVE,novelty_LIST,optimizeValue,repeated_AVE,repeated_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,total_AVE,total_LIST,update
10001,1,199.000000,"[199,199,199]",0.333333,"[1,0,0]",0.666667,"[0,1,1]",8836,10,10,2.466667,"[2,2,0,2,4,1,5,6,0,8,1,3,0,3,0]",1.733333,"[2,2,2,2,1,1,3,1,0,5,0,2,3,1,1]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",99,1.000000,"[1,1,1]",100
11001,1,197.333333,"[199,197,196]",1.666667,"[0,1,4]",0.666667,"[1,1,0]",7351,6,6,1.400000,"[1,0,1,0,5,1,1,2,0,4,1,3,1,1,0]",1.200000,"[2,2,1,1,0,3,1,0,0,2,0,4,0,1,1]",1.666667,"[0,1,4]",1.866667,0.000000,"[0,0,0]",1.866667,"[1.000000,0.600000,4.000000]",0.333333,"[0,1,0]",109,2.333333,"[1,2,4]",110
12001,1,76.000000,"[77,73,78]",67.666667,"[76,73,54]",56.333333,"[47,54,68]",5459,4,4,1.000000,"[2,2,1,0,3,1,1,1,0,1,1,1,0,1,0]",0.733333,"[2,0,1,1,0,1,1,1,0,3,0,0,0,1,0]",34.000000,"[35,33,34]",55.866667,89.333333,"[87,93,88]",55.866667,"[57.200000,59.800000,50.600000]",48.666667,"[47,48,51]",119,124.000000,"[123,127,122]",120
13001,1,199.000000,"[199,199,199]",0.333333,"[1,0,0]",0.666667,"[0,1,1]",7137,5,5,1.133333,"[2,2,1,1,3,1,1,2,0,1,1,1,0,1,0]",0.933333,"[2,0,1,1,0,1,1,1,1,3,1,1,0,1,0]",0.000000,"[0,0,0]",1.000000,0.000000,"[0,0,0]",1.000000,"[1.000000,1.000000,1.000000]",0.000000,"[0,0,0]",129,1.000000,"[1,1,1]",130
14001,1,5.666667,"[4,10,3]",79.333333,"[74,78,86]",70.000000,"[76,67,67]",6770,7,7,1.400000,"[2,1,1,3,4,1,1,1,0,4,1,1,0,1,0]",1.600000,"[2,0,1,1,1,1,1,0,3,3,6,3,0,1,1]",33.333333,"[33,34,33]",59.733333,116.333333,"[117,112,120]",59.733333,"[47.800000,66.600000,64.800000]",64.000000,"[73,56,63]",139,149.333333,"[150,145,153]",140
15001,1,18.000000,"[17,22,15]",77.666667,"[74,77,82]",73.333333,"[77,71,72]",7862,7,7,1.466667,"[3,1,2,1,4,1,1,2,0,2,1,2,1,1,0]",1.533333,"[2,0,1,2,2,1,1,1,0,5,3,2,0,1,2]",20.333333,"[20,19,22]",38.533333,130.000000,"[131,128,131]",38.533333,"[36.200000,47.200000,32.200000]",80.333333,"[82,72,87]",149,151.000000,"[151,148,154]",150
16001,1,2.333333,"[4,0,3]",78.333333,"[73,84,78]",74.333333,"[77,73,73]",6890,7,7,1.466667,"[2,2,2,1,4,1,1,2,0,1,1,1,3,1,0]",1.533333,"[1,1,1,2,2,2,1,0,1,4,3,2,0,1,2]",33.333333,"[34,32,34]",67.733333,119.000000,"[116,125,116]",67.733333,"[63.200000,77.200000,62.800000]",60.666667,"[62,57,63]",159,152.666667,"[150,157,151]",160
17001,1,86.333333,"[83,89,87]",60.333333,"[53,59,69]",53.333333,"[64,52,44]",8056,9,9,1.800000,"[2,2,0,2,5,1,2,2,0,3,2,1,2,2,1]",1.866667,"[4,0,3,1,2,1,2,0,2,4,4,2,0,2,1]",31.666667,"[32,30,33]",47.400000,81.666667,"[85,80,80]",47.400000,"[49.800000,46.600000,45.800000]",47.333333,"[48,46,48]",169,113.666667,"[117,111,113]",170
18001,1,0.333333,"[1,0,0]",84.666667,"[80,80,94]",68.000000,"[72,72,60]",10181,14,14,2.800000,"[2,4,1,3,7,1,3,4,0,4,2,1,4,6,0]",2.800000,"[7,1,6,1,3,2,3,1,2,6,4,2,0,4,0]",34.000000,"[33,35,34]",65.400000,118.333333,"[119,117,119]",65.400000,"[65.200000,61.000000,70.000000]",62.333333,"[62,65,60]",179,152.666667,"[152,152,154]",180
19001,1,10.333333,"[11,10,10]",77.333333,"[71,87,74]",63.000000,"[69,54,66]",6860,7,7,1.600000,"[3,2,1,2,5,1,1,1,2,1,1,2,1,1,0]",1.466667,"[2,1,1,1,3,1,2,0,1,3,2,2,0,1,2]",34.000000,"[35,33,34]",63.333333,105.666667,"[105,107,105]",63.333333,"[67.200000,61.200000,61.600000]",55.000000,"[52,57,56]",189,140.333333,"[140,141,140]",190
20001,1,8.333333,"[7,8,10]",75.333333,"[74,79,73]",70.666667,"[73,66,73]",6907,6,6,1.333333,"[4,1,2,0,4,1,1,1,1,1,0,1,2,1,0]",1.333333,"[1,1,1,2,2,2,1,0,0,4,2,0,1,1,2]",35.000000,"[35,35,35]",59.666667,111.000000,"[113,109,111]",59.666667,"[50.400000,65.200000,63.400000]",61.666667,"[69,57,59]",199,146.000000,"[147,145,146]",200
21001,1,0.666667,"[1,1,0]",78.666667,"[72,76,88]",75.000000,"[82,76,67]",7203,6,6,1.333333,"[1,2,1,2,5,1,1,1,0,1,2,0,2,1,0]",1.266667,"[2,2,2,1,1,1,1,0,0,4,0,1,1,2,1]",33.333333,"[33,35,32]",54.733333,120.000000,"[121,117,122]",54.733333,"[53.200000,59.600000,51.400000]",70.666667,"[72,66,74]",209,153.666667,"[154,152,155]",210
22001,1,20.333333,"[25,15,21]",53.333333,"[61,46,53]",62.333333,"[51,75,61]",6453,6,6,1.600000,"[3,2,2,0,5,1,1,1,0,1,1,4,2,1,0]",1.333333,"[3,1,0,3,1,2,2,0,1,3,0,1,0,1,2]",30.333333,"[31,31,29]",66.200000,84.333333,"[80,89,84]",66.200000,"[57.400000,72.000000,69.200000]",35.333333,"[39,35,32]",219,115.666667,"[112,121,114]",220
23001,1,28.000000,"[25,29,30]",60.666667,"[65,58,59]",64.333333,"[64,66,63]",6612,5,5,1.333333,"[2,0,3,0,2,1,1,1,0,1,1,4,2,2,0]",1.066667,"[1,1,0,3,1,2,2,0,0,3,0,0,0,0,3]",33.666667,"[32,35,34]",70.400000,91.666667,"[97,89,89]",70.400000,"[77.200000,63.800000,70.200000]",39.000000,"[37,43,37]",229,125.000000,"[129,124,122]",230
