food0_AVE,food1_AVE,food2_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,novelty_AVE,optimizeValue_AVE,repeated_AVE,score_AVE,switches_AVE,total_AVE,update
52.440000,51.406667,54.203333,12253.570000,6.180000,6.180000,1.381414,26.956667,60.474000,78.336667,60.474000,32.240000,105.610000,940
48.110000,49.496667,53.546667,12212.080000,5.640000,5.640000,1.465051,27.856667,59.657333,74.836667,59.657333,30.990000,103.043333,950
34.613333,50.623333,56.790000,12285.930000,5.220000,5.220000,0.981414,28.383333,65.096000,78.716667,65.096000,30.226667,107.413333,960
36.230000,50.170000,55.536667,12620.560000,4.750000,4.750000,0.674242,27.620000,62.493333,77.760000,62.493333,30.866667,105.706667,970
31.446667,50.363333,56.110000,12667.950000,4.220000,4.220000,0.395556,27.780000,65.761333,78.256667,65.761333,29.080000,106.473333,980
36.356667,49.406667,53.920000,12854.180000,4.220000,4.220000,0.496566,26.006667,59.474000,76.950000,59.474000,31.323333,103.326667,990
41.070000,45.430000,52.513333,13208.520000,4.350000,4.350000,0.613636,25.736667,59.569333,72.076667,59.569333,27.410000,97.943333,1000
23.210000,48.230000,55.290000,13204.820000,4.420000,4.420000,0.549091,26.886667,61.655333,76.353333,61.655333,29.903333,103.520000,1010
28.150000,52.083333,58.370000,14070.180000,5.360000,5.360000,1.121616,29.066667,67.473333,81.036667,67.473333,30.700000,110.453333,1020
40.720000,46.806667,54.143333,14099.160000,5.430000,5.430000,1.520303,26.850000,61.124667,73.756667,61.124667,28.446667,100.950000,1030
41.696667,46.893333,52.810000,13290.800000,5.590000,5.590000,1.234242,26.863333,59.607333,72.520000,59.607333,28.640000,99.703333,1040
42.546667,47.773333,52.973333,13334.910000,5.450000,5.450000,0.512626,26.183333,58.284667,74.550000,58.284667,30.330000,100.746667,1050
37.330000,49.656667,56.730000,13232.270000,5.540000,5.540000,0.776162,26.496667,60.028000,79.623333,60.028000,33.113333,106.386667,1060
40.133333,49.693333,55.386667,13330.360000,5.620000,5.620000,0.864242,27.943333,62.160667,77.140000,62.160667,30.656667,105.080000,1070
30.053333,50.303333,57.013333,14059.160000,5.300000,5.300000,0.717172,27.553333,62.918000,79.596667,62.918000,31.713333,107.316667,1080
32.123333,47.740000,55.350000,13997.070000,4.800000,4.800000,0.909091,26.506667,60.189333,76.190000,60.189333,30.643333,103.090000,1090
36.676667,47.380000,55.003333,13172.910000,4.940000,4.940000,0.339798,26.870000,61.181333,76.380000,61.181333,29.430000,102.383333,1100
49.600000,44.896667,49.960000,13386.940000,5.340000,5.340000,1.196364,25.533333,56.030000,68.943333,56.030000,27.733333,94.856667,1110
40.990000,47.616667,54.680000,13610.470000,5.370000,5.370000,0.599091,27.693333,62.266000,74.210000,62.266000,28.593333,102.296667,1120
39.060000,53.486667,56.236667,14472.750000,5.130000,5.130000,1.265758,28.300000,61.460667,82.680000,61.460667,34.473333,109.723333,1130
39.910000,50.460000,53.336667,13608.820000,4.930000,4.930000,1.439495,26.663333,58.754000,78.393333,58.754000,32.173333,103.796667,1140
55.463333,47.786667,50.570000,12304.160000,4.800000,4.800000,0.828283,26.643333,58.424000,71.370000,58.424000,28.523333,98.356667,1150
39.343333,52.096667,55.620000,12162.690000,4.970000,4.970000,1.100101,27.676667,62.053333,79.706667,62.053333,32.616667,107.716667,1160
38.193333,50.356667,55.683333,11857.290000,5.020000,5.020000,0.706667,28.266667,62.691333,77.573333,62.691333,30.963333,106.040000,1170
35.860000,52.110000,56.203333,11848.470000,5.090000,5.090000,1.557475,28.753333,63.196000,81.446667,63.196000,32.226667,108.313333,1180
27.886667,48.113333,54.386667,11888.120000,4.940000,4.940000,1.067071,27.046667,62.418000,75.543333,62.418000,28.630000,102.500000,1190
41.923333,48.243333,54.436667,11020.880000,4.620000,4.620000,1.025859,26.963333,60.717333,75.413333,60.717333,29.973333,102.680000,1200
47.016667,46.876667,51.710000,10758.720000,4.630000,4.630000,0.538485,26.196667,59.204667,72.090000,59.204667,28.130000,98.586667,1210
34.440000,47.933333,52.443333,10682.420000,4.060000,4.060000,0.299394,25.610000,56.314000,75.020000,56.314000,31.473333,100.376667,1220
32.106667,50.810000,57.383333,11181.860000,4.120000,4.120000,0.187475,28.536667,65.577333,79.336667,65.577333,30.440000,108.193333,1230
39.190000,46.573333,52.183333,12581.840000,4.280000,4.280000,0.547071,24.986667,58.758667,73.433333,58.758667,28.570000,98.756667,1240
34.296667,49.010000,55.823333,12457.780000,4.510000,4.510000,1.040303,28.693333,64.144667,75.860000,64.144667,29.063333,104.833333,1250
53.006667,42.820000,50.073333,12419.490000,4.890000,4.890000,0.886768,24.826667,55.933333,67.783333,55.933333,26.400000,92.893333,1260
33.776667,49.710000,57.953333,12228.160000,4.470000,4.470000,0.675859,28.196667,64.828000,78.966667,64.828000,30.596667,107.663333,1270
50.236667,47.013333,53.380000,12342.740000,4.410000,4.410000,0.567576,26.720000,61.753333,73.143333,61.753333,27.600000,100.393333,1280
42.693333,42.980000,48.686667,12438.800000,4.220000,4.220000,0.577374,23.543333,52.742000,69.426667,52.742000,27.803333,91.666667,1290
61.200000,43.360000,49.506667,12455.450000,4.930000,4.930000,0.813232,23.610000,54.068000,68.866667,54.068000,27.713333,92.866667,1300
48.790000,42.220000,47.910000,11951.570000,4.330000,4.330000,0.465758,23.913333,52.078000,65.796667,52.078000,27.180000,90.130000,1310
37.040000,48.973333,55.983333,11776.040000,4.100000,4.100000,0.252525,28.420000,64.538667,76.206667,64.538667,28.870000,104.956667,1320
32.720000,48.206667,53.776667,12210.330000,4.280000,4.280000,0.526869,27.270000,60.361333,74.386667,60.361333,29.730000,101.983333,1330
28.553333,50.126667,55.470000,11747.040000,4.420000,4.420000,0.488485,27.650000,61.268000,77.630000,61.268000,31.663333,105.596667,1340
39.163333,47.436667,54.163333,11451.400000,4.550000,4.550000,0.553030,27.200000,60.701333,74.073333,60.701333,29.213333,101.600000,1350
34.663333,48.716667,55.720000,11433.960000,4.350000,4.350000,0.330808,27.853333,62.469333,78.290000,62.469333,29.976667,104.436667,1360
38.010000,48.156667,54.346667,12098.190000,4.230000,4.230000,0.360707,27.373333,61.422667,76.170000,61.422667,29.343333,102.503333,1370
50.743333,44.483333,50.993333,11946.380000,4.280000,4.280000,0.587475,25.483333,59.902667,69.673333,59.902667,25.410000,95.476667,1380
28.283333,48.363333,56.066667,12082.410000,4.200000,4.200000,0.424242,25.640000,60.129333,78.453333,60.129333,31.643333,104.430000,1390
31.183333,47.096667,53.876667,11562.740000,4.170000,4.170000,0.425354,26.013333,58.296667,74.770000,58.296667,30.483333,100.973333,1400
35.930000,47.343333,56.060000,12069.440000,4.210000,4.210000,0.430202,27.320000,62.696000,77.496667,62.696000,29.076667,103.403333,1410
35.630000,51.273333,56.006667,11551.960000,4.240000,4.240000,0.305455,27.913333,63.880000,79.666667,63.880000,31.000000,107.280000,1420
33.576667,47.106667,52.766667,11495.540000,4.330000,4.330000,0.708182,26.366667,60.388667,73.186667,60.388667,28.203333,99.873333,1430
45.443333,44.500000,51.086667,11030.540000,4.460000,4.460000,0.978182,23.970000,56.312000,71.200000,56.312000,28.053333,95.586667,1440
45.006667,43.460000,50.933333,11229.700000,4.320000,4.320000,0.644040,25.443333,58.772667,69.250000,58.772667,25.443333,94.393333,1450
37.673333,46.523333,53.176667,11111.810000,4.600000,4.600000,1.050505,26.806667,58.134000,74.463333,58.134000,29.690000,99.700000,1460
40.996667,46.286667,53.560000,10924.330000,4.350000,4.350000,0.431818,26.376667,59.405333,73.126667,59.405333,28.886667,99.846667,1470
32.340000,47.230000,54.300000,10019.030000,4.320000,4.320000,0.644040,26.580000,60.939333,74.646667,60.939333,28.993333,101.530000,1480
24.703333,49.220000,56.690000,10153.460000,4.770000,4.770000,1.067778,28.023333,64.348667,77.663333,64.348667,29.686667,105.910000,1490
44.200000,44.153333,51.546667,10545.750000,4.210000,4.210000,0.470606,25.080000,58.301333,70.206667,58.301333,26.713333,95.700000,1500
29.536667,49.656667,56.810000,10004.190000,4.470000,4.470000,1.059697,27.313333,63.164667,78.826667,63.164667,30.930000,106.466667,1510
41.940000,44.743333,51.206667,10076.820000,5.090000,5.090000,1.900909,24.620000,57.076667,70.973333,57.076667,27.766667,95.950000,1520
45.706667,44.260000,51.566667,9935.510000,5.820000,5.820000,2.229899,25.280000,56.715333,70.146667,56.715333,27.936667,95.826667,1530
43.000000,47.226667,53.170000,11197.480000,5.030000,5.030000,0.655657,26.926667,62.246667,73.066667,62.246667,27.250000,100.396667,1540
52.276667,44.760000,50.103333,11419.410000,5.340000,5.340000,1.438788,25.723333,57.525333,70.780000,57.525333,26.670000,94.863333,1550
46.233333,48.323333,54.766667,11968.210000,5.290000,5.290000,1.016061,27.276667,62.938000,75.413333,62.938000,28.680000,103.090000,1560
