0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.500000,0.945800,0.412000,0.867200,0.498000,0.970300,0.394000,0.788500,0.454000,0.857700,0.454000,0.889200,0.442000,0.906700,0.406000,0.797800,0.464000,0.959100,0.496000,0.998000,1829.020000,95.648000,95.648000,2347.635367,6.952125,6.952125,4.520000,40.382000,710
0.466000,0.952500,0.458000,0.914200,0.454000,0.928400,0.308000,0.657000,0.414000,0.872000,0.428000,0.884200,0.478000,0.927400,0.386000,0.812200,0.482000,0.931600,0.520000,0.992800,1816.314000,84.496000,84.496000,2004.723431,6.989125,6.989125,4.394000,39.962000,720
0.464000,0.974300,0.444000,0.861700,0.494000,0.966400,0.364000,0.774100,0.458000,0.903200,0.428000,0.850200,0.458000,0.926200,0.420000,0.824600,0.452000,0.948800,0.518000,1.000000,1825.066000,91.084000,91.084000,2154.750445,7.065250,7.065250,4.500000,40.636000,730
0.486000,0.953700,0.438000,0.825800,0.468000,0.930600,0.422000,0.855900,0.476000,0.847100,0.428000,0.785500,0.426000,0.926300,0.402000,0.820700,0.436000,0.910300,0.476000,0.997600,1818.152000,90.286000,90.286000,2954.849904,6.857000,6.857000,4.458000,39.804000,740
0.470000,0.918900,0.380000,0.789100,0.498000,0.942800,0.428000,0.886100,0.466000,0.915100,0.436000,0.855600,0.490000,0.951000,0.348000,0.742600,0.430000,0.885300,0.490000,0.989900,1824.232000,78.808000,78.808000,2385.189515,6.931500,6.931500,4.436000,39.940000,750
0.404000,0.823100,0.418000,0.857600,0.438000,0.957900,0.434000,0.873700,0.452000,0.916600,0.468000,0.858300,0.456000,0.960000,0.432000,0.799600,0.420000,0.854100,0.500000,0.988500,1822.308000,81.918000,81.918000,2485.285848,7.002500,7.002500,4.422000,40.032000,760
0.462000,0.879700,0.452000,0.897300,0.472000,0.968300,0.464000,0.934200,0.490000,0.933700,0.402000,0.832200,0.518000,0.971200,0.392000,0.844900,0.420000,0.817000,0.450000,0.992400,1811.330000,100.774000,100.774000,3319.694313,7.098750,7.098750,4.522000,40.828000,770
0.372000,0.816100,0.452000,0.906500,0.482000,0.922300,0.434000,0.940400,0.482000,0.950200,0.484000,0.921500,0.500000,0.980000,0.436000,0.851600,0.432000,0.896300,0.506000,0.992400,1822.722000,95.438000,95.438000,2641.641439,7.198125,7.198125,4.580000,41.314000,780
0.454000,0.923200,0.454000,0.917800,0.496000,0.954500,0.450000,0.918400,0.488000,0.926000,0.436000,0.899300,0.466000,0.969100,0.438000,0.883500,0.452000,0.897200,0.474000,0.993500,1823.232000,112.398000,112.398000,3083.161920,7.309125,7.309125,4.608000,41.806000,790
0.410000,0.880300,0.470000,0.934800,0.508000,0.960900,0.440000,0.936100,0.488000,0.983000,0.396000,0.864500,0.440000,0.873300,0.460000,0.879500,0.456000,0.922800,0.520000,0.991500,1812.510000,116.190000,116.190000,2799.035972,7.229375,7.229375,4.588000,41.534000,800
0.432000,0.864200,0.470000,0.898500,0.520000,0.978100,0.448000,0.912400,0.482000,0.979500,0.430000,0.863400,0.398000,0.821000,0.442000,0.871700,0.468000,0.949800,0.478000,0.996000,1823.104000,107.842000,107.842000,2664.790617,7.127000,7.127000,4.568000,41.100000,810
0.416000,0.858100,0.462000,0.909600,0.452000,0.968700,0.478000,0.922800,0.538000,0.985500,0.444000,0.855600,0.438000,0.848600,0.462000,0.891100,0.482000,0.956600,0.438000,0.996500,1826.452000,109.876000,109.876000,2471.307238,7.154375,7.154375,4.610000,41.346000,820
0.420000,0.837700,0.480000,0.925900,0.496000,0.967600,0.464000,0.921600,0.478000,0.944500,0.420000,0.847900,0.418000,0.870900,0.434000,0.916200,0.486000,0.962000,0.520000,0.982800,1825.736000,112.916000,112.916000,3134.662269,7.138375,7.138375,4.616000,41.278000,830
0.426000,0.864700,0.474000,0.939900,0.478000,0.957200,0.494000,0.943600,0.452000,0.951600,0.490000,0.891400,0.416000,0.874700,0.404000,0.873600,0.454000,0.934100,0.516000,0.998000,1823.754000,116.538000,116.538000,1945.679916,7.224125,7.224125,4.604000,41.538000,840
0.388000,0.851800,0.480000,0.942200,0.468000,0.978800,0.454000,0.926500,0.510000,0.960400,0.428000,0.848000,0.408000,0.851200,0.426000,0.800700,0.500000,0.964000,0.484000,1.000000,1837.068000,120.338000,120.338000,2602.877511,7.170750,7.170750,4.546000,41.080000,850
0.456000,0.829800,0.516000,0.975500,0.466000,0.989000,0.480000,0.949100,0.482000,0.980900,0.424000,0.849500,0.408000,0.861200,0.432000,0.861900,0.484000,0.962000,0.496000,1.000000,1818.060000,130.532000,130.532000,2467.071118,7.213625,7.213625,4.644000,41.654000,860
