0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.500000,1.000000,0.430000,0.800000,0.390000,0.893500,0.410000,0.867500,0.440000,0.970000,0.590000,1.000000,0.540000,0.974000,0.470000,0.897000,0.370000,0.860500,0.390000,0.838500,4362.210000,7.153750,7.153750,4.530000,40.980000,490
0.510000,0.890000,0.520000,0.927500,0.370000,0.826000,0.450000,0.922500,0.510000,0.990000,0.490000,0.978000,0.490000,0.967000,0.390000,0.803500,0.390000,0.943500,0.360000,0.794000,4586.330000,7.138750,7.138750,4.480000,40.740000,500
0.440000,0.920000,0.310000,0.970000,0.470000,0.880000,0.470000,0.964000,0.500000,0.960000,0.460000,0.890000,0.470000,0.937500,0.510000,0.942000,0.550000,0.970000,0.490000,0.865000,4595.940000,7.276250,7.276250,4.670000,41.840000,510
0.450000,0.928000,0.570000,0.990000,0.390000,0.956000,0.470000,0.966000,0.440000,0.930000,0.490000,0.990000,0.470000,0.986000,0.450000,0.910000,0.570000,1.000000,0.550000,0.929000,4750.500000,7.396875,7.396875,4.850000,43.090000,520
0.460000,0.990000,0.510000,0.912000,0.510000,0.957500,0.450000,0.880000,0.440000,0.930000,0.380000,0.970000,0.460000,0.973000,0.440000,0.894500,0.590000,0.980000,0.440000,0.790000,4593.230000,7.176875,7.176875,4.680000,41.710000,530
0.420000,0.866000,0.490000,0.921500,0.490000,0.904000,0.480000,0.886000,0.430000,0.890000,0.420000,0.930000,0.470000,0.944000,0.390000,0.795500,0.420000,0.940000,0.500000,0.872000,4551.360000,6.948125,6.948125,4.510000,40.250000,540
0.590000,0.964000,0.510000,0.934000,0.490000,0.887500,0.370000,0.909000,0.460000,0.924000,0.460000,0.935500,0.450000,0.927000,0.390000,0.774000,0.520000,0.975000,0.290000,0.819500,4744.940000,7.077500,7.077500,4.530000,40.720000,550
0.500000,1.000000,0.600000,0.967500,0.430000,0.950000,0.510000,0.968000,0.500000,0.970000,0.520000,0.980000,0.490000,0.979500,0.460000,0.870500,0.400000,0.968000,0.400000,0.942500,5067.500000,7.456250,7.456250,4.810000,43.160000,560
0.440000,0.988000,0.390000,0.895500,0.560000,0.945500,0.540000,0.904500,0.490000,0.960000,0.380000,0.960000,0.510000,0.965000,0.290000,0.683000,0.510000,0.889000,0.470000,0.910500,5419.340000,7.080625,7.080625,4.580000,40.950000,570
0.510000,0.970000,0.410000,0.983000,0.470000,0.902000,0.410000,0.976000,0.560000,0.980000,0.420000,0.962000,0.460000,0.959500,0.500000,0.856000,0.490000,0.955000,0.530000,0.945500,5397.390000,7.406250,7.406250,4.760000,42.700000,580
0.600000,1.000000,0.400000,0.910000,0.440000,0.835000,0.410000,0.908000,0.490000,1.000000,0.520000,0.986000,0.530000,0.994000,0.440000,0.935000,0.450000,0.970000,0.480000,0.944000,5682.860000,7.375000,7.375000,4.760000,42.660000,590
0.510000,0.990000,0.600000,0.935000,0.430000,0.882500,0.400000,0.913500,0.490000,0.930000,0.550000,0.970000,0.390000,0.991500,0.430000,0.890000,0.490000,0.965500,0.480000,0.941500,4996.410000,7.243125,7.243125,4.770000,42.270000,600
0.580000,0.968000,0.400000,0.911000,0.510000,0.925500,0.520000,0.891000,0.360000,0.890000,0.390000,0.950000,0.560000,0.963000,0.390000,0.856000,0.510000,0.953500,0.420000,0.948000,5062.560000,7.209375,7.209375,4.640000,41.650000,610
0.510000,1.000000,0.450000,0.881000,0.480000,0.931000,0.510000,0.853500,0.460000,0.998000,0.440000,1.000000,0.520000,0.857000,0.370000,0.868000,0.460000,0.900500,0.420000,0.918000,4907.420000,7.235000,7.235000,4.620000,41.440000,620
0.510000,0.940000,0.480000,0.930500,0.500000,0.898500,0.470000,0.914500,0.550000,0.980000,0.500000,0.995500,0.400000,0.968000,0.400000,0.908500,0.470000,0.936500,0.430000,0.953000,5052.140000,7.291875,7.291875,4.710000,42.390000,630
